"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.57592318746016,0.748,0.216,0,"0","ENSG00000088726"
0,1.58265415006785,0.751,0.225,0,"0","ENSG00000171611"
0,1.27893658373917,0.858,0.336,0,"0","ENSG00000111644"
0,1.08272876334091,0.95,0.466,0,"0","ENSG00000150681"
0,1.25518765694612,0.715,0.26,0,"0","ENSG00000108960"
0,1.66186773981286,0.61,0.192,0,"0","ENSG00000041353"
0,1.48075080188515,0.578,0.164,0,"0","ENSG00000165682"
0,1.63629701058736,0.646,0.282,0,"0","ENSG00000118508"
0,1.23682328984891,0.807,0.52,0,"0","ENSG00000102804"
0,0.981487204960258,0.911,0.651,0,"0","ENSG00000127314"
5.92878775009496e-322,1.04042934618818,0.909,0.395,1.91837785229823e-317,"0","ENSG00000127824"
2.7993759493365e-320,1.48302679508119,0.7,0.407,9.05794075926812e-316,"0","ENSG00000148834"
3.39866823001992e-315,1.58253379979392,0.521,0.141,1.09970707918754e-310,"0","ENSG00000184113"
1.51672854122772e-314,1.27453945279584,0.708,0.293,4.90767854085052e-310,"0","ENSG00000187699"
7.52096933412459e-312,1.7684312710571,0.466,0.113,2.43356004744269e-307,"0","ENSG00000162614"
2.39577821154566e-311,1.78210677679732,0.45,0.1,7.75201955909829e-307,"0","ENSG00000197461"
6.24961330814083e-310,0.969091764458196,0.922,0.61,2.02218737811513e-305,"0","ENSG00000169756"
1.39883339354034e-308,1.06060788300613,0.871,0.462,4.52620521147848e-304,"0","ENSG00000176783"
2.04174093845374e-305,1.56825651572658,0.507,0.134,6.60646115455475e-301,"0","ENSG00000119862"
1.17751322078999e-303,1.48609651849337,0.55,0.168,3.81007952851016e-299,"0","ENSG00000124635"
2.71412966086111e-303,0.924432674182217,0.949,0.584,8.78210934364831e-299,"0","ENSG00000180573"
3.30168880854028e-301,1.10380052695051,0.776,0.305,1.06832744777938e-296,"0","ENSG00000100351"
1.22670491852061e-298,1.34450133725698,0.708,0.391,3.96924910485715e-294,"0","ENSG00000122643"
1.83273754557437e-297,1.82870072852052,0.483,0.146,5.93018887621498e-293,"0","ENSG00000153071"
7.73036099044541e-293,1.04263407031984,0.828,0.335,2.50131290567842e-288,"0","ENSG00000166091"
2.17796930010389e-291,0.990271631518711,0.919,0.403,7.04725526434617e-287,"0","ENSG00000169704"
3.98883616131753e-284,1.41621387448297,0.649,0.319,1.29066771671751e-279,"0","ENSG00000023902"
4.21976637661773e-281,1.65943212124888,0.446,0.112,1.3653898064822e-276,"0","ENSG00000149564"
1.64549535020587e-279,1.28665722995048,0.63,0.243,5.32432930466114e-275,"0","ENSG00000146376"
8.41875453626083e-276,1.17503819621792,0.633,0.217,2.72405640529792e-271,"0","ENSG00000223855"
2.79057356409956e-270,1.09931619859292,0.681,0.243,9.02945888135694e-266,"0","ENSG00000085733"
7.64726392440111e-268,1.24630012860596,0.631,0.257,2.47442518801847e-263,"0","ENSG00000070190"
1.99122137488685e-264,1.50215149871152,0.469,0.134,6.44299500272138e-260,"0","ENSG00000047648"
4.4729052070902e-263,1.35232270271843,0.553,0.196,1.44729793785818e-258,"0","ENSG00000278828"
7.89858453158064e-263,1.55198888565004,0.441,0.116,2.55574499688355e-258,"0","ENSG00000151023"
6.47325842062461e-259,1.32975568065727,0.598,0.251,2.0945522271615e-254,"0","ENSG00000072135"
3.09728206555002e-254,0.918433853431969,0.883,0.601,1.00218755795002e-249,"0","ENSG00000068796"
6.99259474936015e-252,1.18273977309667,0.63,0.252,2.26259388305046e-247,"0","ENSG00000158457"
1.91372017876511e-250,1.60758252647246,0.456,0.145,6.19222438243027e-246,"0","ENSG00000229124"
3.09514794703164e-249,1.19690467965142,0.599,0.228,1.00149702122103e-244,"0","ENSG00000254614"
1.0559131898642e-248,1.64114446418692,0.434,0.127,3.41661830844358e-244,"0","ENSG00000146859"
2.86552028016264e-247,1.33670053113401,0.493,0.153,9.27196397052226e-243,"0","ENSG00000065534"
6.73093473031391e-239,0.904040770364609,0.88,0.529,2.17792855068767e-234,"0","ENSG00000115758"
5.48988097125675e-238,1.44983721620736,0.476,0.161,1.77636078586955e-233,"0","ENSG00000213658"
2.29353599032614e-227,0.940478927118062,0.827,0.513,7.4211944038983e-223,"0","ENSG00000128245"
6.6471124179252e-225,1.54900261524361,0.478,0.189,2.15080616506806e-220,"0","ENSG00000160789"
8.06445821518221e-222,1.3589425793552,0.438,0.133,2.60941674468651e-217,"0","ENSG00000150637"
1.35982658971047e-221,0.915724245811769,0.743,0.324,4.39999089632617e-217,"0","ENSG00000156265"
4.46889149037431e-220,0.972235422676974,0.779,0.488,1.44599921954042e-215,"0","ENSG00000125952"
2.68407763496759e-216,0.981251631345692,0.748,0.428,8.68487000346465e-212,"0","ENSG00000107438"
6.32245944770909e-216,1.41845860665003,0.418,0.127,2.04575820349523e-211,"0","ENSG00000185340"
2.29657558761404e-215,1.08494039790793,0.673,0.353,7.43102962884276e-211,"0","ENSG00000112576"
2.7546741350736e-215,0.723552611214243,0.924,0.701,8.91329909885765e-211,"0","ENSG00000187109"
3.61433562111602e-214,0.832154745414316,0.983,0.486,1.16949057692451e-209,"0","ENSG00000101162"
3.28433731582904e-211,1.24735377101725,0.571,0.27,1.0627130252828e-206,"0","ENSG00000071051"
6.84727954000349e-211,1.30616081650068,0.418,0.124,2.21557424075893e-206,"0","ENSG00000138735"
5.87995849747794e-209,0.73898243109061,0.959,0.674,1.90257817102894e-204,"0","ENSG00000148908"
1.99993127700705e-207,0.843312320505537,0.872,0.586,6.47117763301172e-203,"0","ENSG00000105329"
8.15214196131485e-206,1.00692534829978,0.578,0.223,2.63778857442265e-201,"0","ENSG00000104267"
